GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javajunior,com.acme.edu,ApplicationTest,93,0,0,0,17,0,2,0,2,0
javajunior,com.acme.edu,CharCommand,26,0,0,0,8,0,5,0,5,0
javajunior,com.acme.edu,IntCommand,6,75,5,9,0,16,4,9,0,6
javajunior,com.acme.edu,ObjCommand,25,0,0,0,8,0,5,0,5,0
javajunior,com.acme.edu,ByteCommand,21,61,9,5,2,14,7,6,0,6
javajunior,com.acme.edu,Logger,24,32,0,0,7,9,4,5,4,5
javajunior,com.acme.edu,StringCommand,0,76,1,7,0,14,1,9,0,6
javajunior,com.acme.edu,LoggerController,0,46,0,6,0,12,0,6,0,3
javajunior,com.acme.edu,BoolCommand,26,0,0,0,8,0,5,0,5,0
javajunior,com.acme.edu,Command,0,13,0,2,0,2,0,3,0,2
javajunior,com.acme.edu,LogConsoleSaver,0,7,0,0,0,3,0,2,0,2
